,Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Funded_year,Founded_before_2014
1695,SmarterBiz,2014.0,Bangalore,Tech,An end-to-end CX platform enabled with the gig workforce,"Rajesh Bernard, Vijay Krishna, Prateek Mehta","StartupXseed Ventures, Bhaskar Pramanik, MJ Aravinf, Ravi Viswanath, Ramesh Radhakrishnan, Ranjan Biswas, MJ Aniketh.",1065000.0,Pre Series A,2020,False
1696,Able Jobs,2019.0,Bangalore,HR,Provides end to end hiring support to companies,"Ravish Agrawal, Swatantra Kumar, Siddharth Srivastav","SAIF Partners, Y Combinator, Neeraj Arora, Titan Capital, First Cheque.",2000000.0,Series A,2020,False
1697,Vieroots,2018.0,Kochi,Healthtech,Personalised lifestyle management using epigenetic science,Sanjeev Nair,Suniel Shetty,3000000.0,Series A,2020,False
1698,Stack Finance,2019.0,Bangalore,Fintech,"It automates invesments, expenses, borrowing under a single platform",Smriti Tomar,"SOSV, MOX (Mobile Only Accelerator)",3000000.0,Seed round,2020,False
1699,FPL Technologies,2015.3634204275534,Pune,Fintech,OneScore app is built by FPL - Free credit scoring and monitoring,Anurag Sinha,"Matrix Partners India, Sequoia Capital India, Hummingbird Ventures",10000000.0,Series A,2020,False
1700,Masai School,2019.0,Bangalore,EdTech,It trains tech aspirants in full stack wed and android development,"Prateek Shukla, Nrupul Dev, Yogesh Bhat","Unitus Ventures, India Quotient, AngelList India",2500000.0,Series A,2020,False
1701,Mitron,2015.3634204275534,Bangalore,Media,Short Video and Social Platform,"Shivank Agarwal, Anish Khandelwal.",Nexus Venture Partners,5000000.0,Series A,2020,False
1702,Daalchini,2017.0,India,IoT,Physical and Digital vending machines startup,"Prerna Kalra, Vidya Bhushan",Artha Venture Fund,669000.0,Pre Series A,2020,False
1703,Suno India,2018.0,India,Media,Multilingual podcast platform,"DVL Padma Priya, Rakesh Kamal, Tarun Nirwan",Shobu Yarlagadda,3000000.0,Angel Round,2020,False
1704,LendingKart,2014.0,Ahmedabad,Fintech,Provides working capital loans and business loans to MSMEs,"Public banks, Private lenders","Fullerton Financial Holdings, Bertelsmann India Investments, Sistema Asia Fund, IndiaQuotient",16076000.0,Series D,2020,False
1705,Text Mercato,2015.0,Bangalore,Fintech,Cataloguing startup that serves ecommerce platforms,"Kiran Ramakrishna, Subhajit Mukherjee",1Crowd,649600.0,Series A,2020,False
1706,Eden Smart Homes,2018.0,India,IoT,Develops smart home automation systems,"Pranjal Kacholia, Divyansh Mathur",Inflection Point Ventures,3000000.0,Series A,2020,False
1707,GrayQuest,2017.0,Mumbai,EdTech,Enables parents to pay their annual education fees in up to 12 monthly installments,Rishab Mehta,Foundation Holdings,1000000.0,Pre Series A,2020,False
1708,BigHaat,2015.0,Bangalore,Agritech,Agri-inputs ecommerce player,"Sateesh Nukala, SachinNandwana","Ankur Capital, Beyond Next Ventures",2000000.0,Pre Series A,2020,False
1709,CityCash,2017.0,Mumbai,Fintech,Focusses on creating a transit led micro-payments ecosystem,Vineet Toshniwala,Orios Venture Partners,1000000.0,Seed round,2020,False
1710,HomeLane,2014.0,Chennai,Interior design,Provides interior designing solutions,"Srikanth Iyer, Rama Harinath","Evolvence India Fund (EIF), Pidilite Group, FJ Labs",1000000.0,Series D,2020,False
1711,HungerBox,2015.0,Bangalore,Foodtech,"Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias","Sandipan Mitra, Uttam Kumar",IIFL Income Opportunities Fund,6700000.0,Series C,2020,False
1712,DaveAI,2015.3634204275534,Bangalore,AI,Sales augmentation platform with a vision to democratise AI for enterprises,"Ananthakrishnan Gopal, Ashok Balasundaram, Sriram P H",Mumbai Angels Network,3000000.0,Series A,2020,False
1713,Eduvanz,2016.0,Mumbai,Fintech,Digital finance NBFC that provides affordable education loans,"Varun Chopra, Raheel Shah",Sequoia India,5000000.0,Series A,2020,False
1714,ZipLoan,2015.0,Delhi,Fintech,Provides loans to MSMEs,"Kshitj Puri, Shalabh Singhal",Stride Ventures,2000000.0,Series A,2020,False
1715,DocSumo,2019.0,Mumbai,AI,Platform helps to automate and analyse financial data,"Rushabh Sheth, Bikram Dahl","Better Capital, TechStars, Barclays.",220000.0,Seed round,2020,False
1716,CUSMAT,2016.0,Warangal,AR/VR,It builds high immersion training systems for enterprises,"Abhinav Ayan, Anirban Jyoti Chakravorty, Soumyaranjan Harichandan","Venture Catalysts,  Raveen Sastry",3000000.0,Series A,2020,False
1717,Chingari,2018.0,Bangalore,Media,Short video platform,"Biswatma Nayak, Siddharth Gautam","AngelList India, Utsav Somani, Village Global, LogX Ventures, Jasminder Singh Gulati",1300000.0,Seed round,2020,False
1718,Bolo Indya,2015.3634204275534,Gurugram,Media,User-generated content platform,Varun Saxena,"Eagle10 Ventures, India Accelerator, HNIs",300000.0,Pre series A1,2020,False
1719,Data Sutram,2018.0,Kolkata,AI,Platform gathers intel from external data to provide location-based data intelligence.,"Rajit Bhattacharya, Aisik Paul, Ankit Das","Uday Sodhi, Mitesh Shah, Nitin Jain",266500.0,Series A,2020,False
1720,Wobot Intelligence,2015.3634204275534,Delhi,AI,AI backed video analytics platform,"Adit Chhabra, Tapan Dixit,Tanay Dixit.",Sequoia Capital India,2500000.0,Pre Series A,2020,False
1721,DrinkPrime,2015.3634204275534,Bangalore,Appliance,Subscription-based Water purifier startup,"Viijender Reddy, Manas Ranjan Hota",Sequoia Surge,2879000.0,Pre Series A,2020,False
1722,Infeedo,2013.0,Gurugram,HR tech,An employee engagement HR analytics platform,"Tanmaya Jain, Varun Puri",Y Combinator,700000.0,Series A,2020,True
1723,Probus Smart Things,2015.3634204275534,Delhi,IoT,Platform for monitoring distribution sub-station performance and operations,"Anand Singh, Ankit Vaish",Unicorn India Ventures,3000000.0,Seed round,2020,False
1724,CrowdPouch,2015.3634204275534,Bangalore,Tech,A reward-based fundraising and preselling platform,Vittal Ramakrishna,Elina Investments,3000000.0,Angel Round,2020,False
1725,Rebel Foods,2011.0,Mumbai,Food tech,Cloud kitchen platform,"Jaydeep Barman, Kallol Bannerjee",Coatue Management,26500000.0,Series E2,2020,True
1726,Hevo,2017.0,Bangalore,Tech,Data pipeline startup,"Manish Jethani, Sourabh Agarwal","Qualgro, Lachy Groom",8000000.0,Series A,2020,False
1727,BigSpoon Foods,2019.0,Ahmedabad,Foodtech,Cloud kitchen startup,"Kapil Mathrani, Rohan Bhatt, Poojan Thakkar","Urmin Family Office, Lemonade Ventures, TrueValue Group MD Yash Shah",2000000.0,Pre series A,2020,False
